COD_PROVINCIA,PROVINCIA,COD_POSTAL,NOMBRE_MUNICIPIO,ELEMENTO,TIPO_VIVIENDA,TIPO_MEDIDA,AÑO,VALOR
08,Barcelona,08068,Cervelló,SUPERFICIE,COLECTIVA,MEDIANA,2020,82
08,Barcelona,08068,Cervelló,SUPERFICIE,COLECTIVA,MEDIANA,2021,82
08,Barcelona,08158,Papiol, El,SUPERFICIE,COLECTIVA,MEDIANA,2011,82
08,Barcelona,08158,Papiol, El,SUPERFICIE,COLECTIVA,MEDIANA,2013,82
08,Barcelona,08158,Papiol, El,SUPERFICIE,COLECTIVA,MEDIANA,2014,82
08,Barcelona,08158,Papiol, El,SUPERFICIE,COLECTIVA,MEDIANA,2016,82
08,Barcelona,08158,Papiol, El,SUPERFICIE,COLECTIVA,MEDIANA,2017,82
08,Barcelona,08158,Papiol, El,SUPERFICIE,COLECTIVA,MEDIANA,2018,82
08,Barcelona,08158,Papiol, El,SUPERFICIE,COLECTIVA,MEDIANA,2021,82
08,Barcelona,08158,Papiol, El,SUPERFICIE,COLECTIVA,MEDIANA,2022,82
08,Barcelona,08158,Papiol, El,SUPERFICIE,COLECTIVA,MEDIANA,2023,82
08,Barcelona,08250,Santa Margarida de Montbui,SUPERFICIE,COLECTIVA,MEDIANA,2011,82
08,Barcelona,08250,Santa Margarida de Montbui,SUPERFICIE,COLECTIVA,MEDIANA,2012,82
08,Barcelona,08250,Santa Margarida de Montbui,SUPERFICIE,COLECTIVA,MEDIANA,2013,82
08,Barcelona,08250,Santa Margarida de Montbui,SUPERFICIE,COLECTIVA,MEDIANA,2014,82
08,Barcelona,08250,Santa Margarida de Montbui,SUPERFICIE,COLECTIVA,MEDIANA,2015,82
08,Barcelona,08250,Santa Margarida de Montbui,SUPERFICIE,COLECTIVA,MEDIANA,2016,82
08,Barcelona,08250,Santa Margarida de Montbui,SUPERFICIE,COLECTIVA,MEDIANA,2017,82
08,Barcelona,08250,Santa Margarida de Montbui,SUPERFICIE,COLECTIVA,MEDIANA,2018,82
08,Barcelona,08250,Santa Margarida de Montbui,SUPERFICIE,COLECTIVA,MEDIANA,2019,82
08,Barcelona,08250,Santa Margarida de Montbui,SUPERFICIE,COLECTIVA,MEDIANA,2021,82
08,Barcelona,08250,Santa Margarida de Montbui,SUPERFICIE,COLECTIVA,MEDIANA,2022,82
08,Barcelona,08250,Santa Margarida de Montbui,SUPERFICIE,COLECTIVA,MEDIANA,2023,82
08,Barcelona,08135,Montmeló,SUPERFICIE,COLECTIVA,MEDIANA,2011,80
08,Barcelona,08135,Montmeló,SUPERFICIE,COLECTIVA,MEDIANA,2012,80
08,Barcelona,08135,Montmeló,SUPERFICIE,COLECTIVA,MEDIANA,2013,80
08,Barcelona,08135,Montmeló,SUPERFICIE,COLECTIVA,MEDIANA,2014,80
08,Barcelona,08135,Montmeló,SUPERFICIE,COLECTIVA,MEDIANA,2015,80
08,Barcelona,08135,Montmeló,SUPERFICIE,COLECTIVA,MEDIANA,2018,80
08,Barcelona,08135,Montmeló,SUPERFICIE,COLECTIVA,MEDIANA,2020,80
08,Barcelona,08135,Montmeló,SUPERFICIE,COLECTIVA,MEDIANA,2021,80
08,Barcelona,08135,Montmeló,SUPERFICIE,COLECTIVA,MEDIANA,2022,80
08,Barcelona,08135,Montmeló,SUPERFICIE,COLECTIVA,MEDIANA,2023,80
08,Barcelona,08009,Argentona,SUPERFICIE,COLECTIVA,MEDIANA,2012,80
08,Barcelona,08009,Argentona,SUPERFICIE,COLECTIVA,MEDIANA,2013,80
08,Barcelona,08009,Argentona,SUPERFICIE,COLECTIVA,MEDIANA,2014,80
08,Barcelona,08009,Argentona,SUPERFICIE,COLECTIVA,MEDIANA,2015,80
08,Barcelona,08009,Argentona,SUPERFICIE,COLECTIVA,MEDIANA,2018,80
08,Barcelona,08009,Argentona,SUPERFICIE,COLECTIVA,MEDIANA,2019,80
